"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"245",245,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Collelungo","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2018","04","06",5,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,1,9,1,NA,5,5,5,5,9,2,NA,NA,NA,5,5,1,5,5,5,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,9,NA,9,NA,NA,NA,9,9,7,7,1,9,9,9,9,9,1,9,NA,2,38,NA,3,NA,NA,NA,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(11.02865, 42.65128)
"246",246,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Collelungo","IT","Mediterranean Sea",111,NA,NA,"Monitoring","2017","03","09",5,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,1,9,1,NA,5,5,5,5,9,2,NA,NA,NA,5,5,1,5,5,5,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,9,NA,9,NA,NA,NA,9,9,7,7,1,9,9,9,9,9,1,9,NA,2,38,NA,3,NA,NA,NA,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(11.02865, 42.65128)
"247",247,"Legambiente Onlus","Spiaggia della Foggia, Ficarazzi (PA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","24",NA,NA,15,NA,100,180,15,4,NA,12,3,2,3,3,NA,1,NA,10,10,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,5,18,10,10,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,10,10,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,150,NA,NA,3,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.4805800000181, 38.0996999997332)
"248",248,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lavagna foce Entella","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","17",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,5,5,1,1,NA,5,5,5,5,5,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(9.35367, 44.30208)
"249",249,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lavagna foce Entella","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","24",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,5,5,1,1,NA,5,5,5,5,5,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(9.35367, 44.30208)
"250",250,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lavagna foce Entella","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","14",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,5,5,1,1,NA,5,5,5,5,5,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(9.35367, 44.30208)
"251",251,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lavagna foce Entella","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","04","05",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,5,NA,NA,NA,5,5,1,1,NA,5,5,5,5,5,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(9.35367, 44.30208)
"252",252,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Pineto localit? Scerne di Pineto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","09",21,52,52,52,21,21,9,21,9,9,NA,NA,NA,NA,22,NA,1,21,21,21,21,22,9,3,4,8,21,21,7,21,21,21,9,9,NA,NA,6,6,22,6,6,22,3,3,3,3,3,3,3,2,3,7,NA,NA,NA,NA,4,9,9,9,22,8,22,9,NA,NA,22,22,71,71,7,22,22,22,22,22,NA,22,3,4,NA,NA,2,NA,3,14,NA,8,22,1,1,2,1,1,1,NA,NA,NA,9,1,1,1,NA,NA,11,NA,NA,11,NA,2,1,1,NA,1,2,4,2,4,2,1,1,NA,1,1,NA,1,1,1,1,3,4,4,4,4,3,NA,3,NA,3,NA,2,1,2,1,3,NA,NA,NA,3,3,NA,NA,NA,NA,34,NA,2,2,2,2,NA,NA,c(14.04035, 42.65099)
"253",253,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Pineto localit? Scerne di Pineto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","15",21,52,52,52,21,21,9,21,9,9,NA,NA,NA,NA,22,NA,1,21,21,21,21,22,9,3,4,8,21,21,7,21,21,21,9,9,NA,NA,6,6,22,6,6,22,3,3,3,3,3,3,3,2,3,7,NA,NA,NA,NA,4,9,9,9,22,8,22,9,NA,NA,22,22,71,71,7,22,22,22,22,22,NA,22,3,4,NA,NA,2,NA,3,14,NA,8,22,1,1,2,1,1,1,NA,NA,NA,9,1,1,1,NA,NA,11,NA,NA,11,NA,2,1,1,NA,1,2,4,2,4,2,1,1,NA,1,1,NA,1,1,1,1,3,4,4,4,4,3,NA,3,NA,3,NA,2,1,2,1,3,NA,NA,NA,3,3,NA,NA,NA,NA,34,NA,2,2,2,2,NA,NA,c(14.04035, 42.65099)
"254",254,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Pineto localit? Scerne di Pineto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","09",21,52,52,52,21,21,9,21,9,9,NA,NA,NA,NA,22,NA,1,21,21,21,21,22,9,3,4,8,21,21,7,21,21,21,9,9,NA,NA,6,6,22,6,6,22,3,3,3,3,3,3,3,2,3,7,NA,NA,NA,NA,4,9,9,9,22,8,22,9,NA,NA,22,22,71,71,7,22,22,22,22,22,NA,22,3,4,NA,NA,2,NA,3,14,NA,8,22,1,1,2,1,1,1,NA,NA,NA,9,1,1,1,NA,NA,11,NA,NA,11,NA,2,1,1,NA,1,2,4,2,4,2,1,1,NA,1,1,NA,1,1,1,1,3,4,4,4,4,3,NA,3,NA,3,NA,2,1,2,1,3,NA,NA,NA,3,3,NA,NA,NA,NA,34,NA,2,2,2,2,NA,NA,c(14.04035, 42.65099)
"255",255,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Pineto localit? Scerne di Pineto","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","11","21",21,52,52,52,21,21,9,21,9,9,NA,NA,NA,NA,22,NA,1,21,21,21,21,22,9,3,4,8,21,21,7,21,21,21,9,9,NA,NA,6,6,22,6,6,22,3,3,3,3,3,3,3,2,3,7,NA,NA,NA,NA,4,9,9,9,22,8,22,9,NA,NA,22,22,71,71,7,22,22,22,22,22,NA,22,3,4,NA,NA,2,NA,3,14,NA,8,22,1,1,2,1,1,1,NA,NA,NA,9,1,1,1,NA,NA,11,NA,NA,11,NA,2,1,1,NA,1,2,4,2,4,2,1,1,NA,1,1,NA,1,1,1,1,3,4,4,4,4,3,NA,3,NA,3,NA,2,1,2,1,3,NA,NA,NA,3,3,NA,NA,NA,NA,34,NA,2,2,2,2,NA,NA,c(14.04035, 42.65099)
"256",256,"Legambiente Onlus","Spiaggia di Ventotto, Petacciato (CB)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","29",NA,13,7,NA,9,10,4,2,2,1,2,3,NA,2,NA,NA,NA,12,2,5,NA,1,NA,3,NA,NA,NA,NA,NA,4,NA,4,NA,1,NA,NA,NA,NA,NA,77,NA,NA,1,1,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,24,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,2,NA,1,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,2,NA,NA,NA,NA,NA,2,1,1,NA,c(14.8663899996926, 42.0317999998968)
"257",257,"Legambiente Onlus","Spiaggia di Mercatello, Salerno (SA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","13",NA,2,4,1,5,19,1,13,NA,NA,1,NA,NA,NA,NA,NA,1,27,NA,NA,NA,NA,13,30,6,NA,18,NA,2,18,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,66,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,2,NA,4,32,NA,NA,3,1,NA,NA,9,NA,NA,NA,NA,2,2,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,25,340,NA,23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,60,NA,75,1,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,c(14.7993600003024, 40.658809999775)
"258",258,"Legambiente Onlus","Spiaggia di Barcarello, Palermo  (PA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2014","05","18",NA,13,15,2,15,16,8,5,NA,5,5,1,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,6,180,NA,NA,150,NA,NA,25,110,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,20,1,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,10,2,6,3,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,NA,NA,NA,200,NA,NA,NA,NA,40,NA,NA,c(13.2822600001449, 38.2071600000569)
"259",259,"Surfrider Foundation Europe","144 Via Roma, 00055 Ladispoli, Italie","IT","Mediterranean Sea",83,NA,NA,"Cleanup","2015","05","31",NA,18,NA,NA,3,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2703,NA,913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.0490999998452, 41.9574999998623)
"260",260,"Legambiente Onlus","Spiaggia di Licola mare, Pozzuoli (NA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","30",NA,7,NA,NA,16,49,NA,2,NA,NA,5,1,NA,3,1,3,2,13,NA,1,NA,NA,4,5,1,1,2,NA,NA,17,2,NA,NA,NA,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,1,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,15,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,1,c(14.0393400002368, 40.8825799998866)
"261",261,"Legambiente Onlus","Spiaggia sul Mar Piccolo, Taranto (TA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2016","05","12",NA,NA,NA,NA,30,50,75,NA,NA,NA,25,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,87,NA,NA,45,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(17.302149999741, 40.4694600000845)
"262",262,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido Saraceni","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","10","11",6,4,4,4,6,6,1,6,1,1,NA,NA,NA,NA,4,NA,NA,6,6,6,6,4,NA,76,NA,NA,6,6,5,6,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,27,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,4,4,5,4,4,4,4,4,NA,4,NA,27,3,NA,NA,NA,NA,NA,1,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,6,1,6,NA,NA,86,NA,6,10,6,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,2,2,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,1,1,1,1,NA,c(14.41313, 42.34492)
"263",263,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido Saraceni","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","08",6,4,4,4,6,6,1,6,1,1,NA,NA,NA,NA,4,NA,NA,6,6,6,6,4,NA,76,NA,NA,6,6,5,6,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,27,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,4,4,5,4,4,4,4,4,NA,4,NA,27,3,NA,NA,NA,NA,NA,1,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,6,1,6,NA,NA,86,NA,6,10,6,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,2,2,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,1,1,1,1,NA,c(14.41313, 42.34492)
"264",264,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido Saraceni","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","12",6,4,4,4,6,6,1,6,1,1,NA,NA,NA,NA,4,NA,NA,6,6,6,6,4,NA,76,NA,NA,6,6,5,6,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,27,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,4,4,5,4,4,4,4,4,NA,4,NA,27,3,NA,NA,NA,NA,NA,1,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,6,1,6,NA,NA,86,NA,6,10,6,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,2,2,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,1,1,1,1,NA,c(14.41313, 42.34492)
"265",265,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Lido Saraceni","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","03","02",6,4,4,4,6,6,1,6,1,1,NA,NA,NA,NA,4,NA,NA,6,6,6,6,4,NA,76,NA,NA,6,6,5,6,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,27,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,4,4,5,4,4,4,4,4,NA,4,NA,27,3,NA,NA,NA,NA,NA,1,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,6,1,6,NA,NA,86,NA,6,10,6,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,2,2,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,1,1,1,1,NA,c(14.41313, 42.34492)
"266",266,"Legambiente Onlus","Spiaggia Di Eraclea, Ceggia (VE)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2015","05","09",NA,6,NA,NA,123,77,3,15,NA,5,NA,4,NA,3,NA,6,2,15,NA,NA,NA,NA,2,NA,NA,NA,5,NA,6,15,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,25,NA,NA,120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.7350499997585, 45.5313700000305)
"267",267,"Legambiente Onlus","Duna della foresta Regionale di Cuma, Pozzuoli (NA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","05","03",10,NA,20,NA,NA,50,50,NA,NA,NA,50,NA,NA,6,NA,20,1,50,NA,NA,NA,NA,NA,120,NA,NA,50,NA,10,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,20,NA,NA,NA,5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,15,NA,10,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,c(14.0478399995923, 40.8444900000186)
"268",268,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Torre Salsa","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","04","27",1,3,3,3,1,1,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,1,1,1,1,2,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,3,3,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.32976, 37.36186)
"269",269,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Torre Salsa","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","04",1,3,3,3,1,1,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,1,1,1,1,2,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,3,3,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(13.32976, 37.36186)
